customer_id,total_revenue,calculated_aov,order_count,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,customer_aov,revenue_per_order,value_score,clv,clv_segment
31813,5726.04,2863.02,2,Indrajit Pau,wakeetasehgal@example.com,9.11786E+11,"66, Vora Chowk
Maheshtala 376030",Sultan Pur Majra,666762,10-04-2024,Regular,18,1230.75,2863.02,11452.08,68712.48,High Value
61020,7844.9,2614.966667,3,Onkar Suresh,rudradeshpande@example.com,9.18421E+11,"88/40, Bora Zila, Phusro-161515",Kurnool,345635,27-07-2024,New,19,1703.16,2614.966667,23534.7,94138.8,Very High Value
119099,14768.77,3692.1925,4,Zansi Parsa,neha08@example.com,9.12033E+11,"H.No. 40, Gopal Ganj, Bidar 854350",Kavali,692517,01-08-2023,Inactive,20,637.35,3692.1925,59075.08,177225.24,Very High Value
188838,5182.04,2591.02,2,Idika Basu,deepakhanna@example.com,9.14956E+11,"67, Karan Chowk
Katihar 496332",Madanapalle,566155,16-07-2024,Inactive,12,799.11,2591.02,10364.08,62184.48,High Value
191616,4089.96,2044.98,2,Brijesh Tata,yadavipatla@example.org,9.18144E+11,"19/151, Bera Nagar, Surendranagar Dudhrej-068367",Pallavaram,587079,27-04-2023,Regular,4,1053.7,2044.98,8179.92,49079.52,Medium Value
211163,11984.36,3994.786667,3,Hiral Baral,bhavsaryagnesh@example.com,9.11313E+11,"H.No. 11
Sharma Chowk, Jhansi-302598",Satna,50152,10-06-2024,Regular,9,1169.11,3994.786667,35953.08,143812.32,Very High Value
243838,6061.06,2020.353333,3,Sudiksha Nagar,chandanikrish@example.net,9.13689E+11,"H.No. 58
Cherian Zila
Dhule 851724",Visakhapatnam,865844,16-05-2024,New,11,1158.27,2020.353333,18183.18,72732.72,High Value
376144,9359.35,1871.87,5,Ira Chhabra,caleb02@example.com,9.14255E+11,"H.No. 39
Sarkar Path
Karawal Nagar-657936",Anantapuram,627253,19-12-2023,Regular,13,1784.32,1871.87,46796.75,112312.2,Very High Value
408590,1217.39,1217.39,1,Januja Zachariah,nakshsahni@example.net,9.16303E+11,"25/639
Chandran Zila
Kozhikode 329055",Jorhat,356268,11-03-2024,Regular,17,436.74,1217.39,1217.39,14608.68,Low Value
469006,5932.18,1977.393333,3,Shivansh Loyal,darikaperi@example.net,9.10131E+11,"49, Garg Ganj
Bhubaneswar-563425",Begusarai,814266,21-08-2023,Inactive,2,1393.2,1977.393333,17796.54,71186.16,High Value
