customer_id,total_revenue,calculated_aov,order_count,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,customer_aov,revenue_per_order,value_score,clv,clv_segment
31813,5726.04,2863.02,2,Indrajit Pau,wakeetasehgal@example.com,911785834174,"66, Vora Chowk
Maheshtala 376030",Sultan Pur Majra,666762,2024-04-10,Regular,18,1230.75,2863.02,11452.08,68712.48,High Value
61020,7844.9,2614.9666666666667,3,Onkar Suresh,rudradeshpande@example.com,918421031341,"88/40, Bora Zila, Phusro-161515",Kurnool,345635,2024-07-27,New,19,1703.16,2614.9666666666667,23534.7,94138.79999999999,Very High Value
119099,14768.77,3692.1925,4,Zansi Parsa,neha08@example.com,912032907631,"H.No. 40, Gopal Ganj, Bidar 854350",Kavali,692517,2023-08-01,Inactive,20,637.35,3692.1925,59075.08,177225.24,Very High Value
188838,5182.04,2591.02,2,Idika Basu,deepakhanna@example.com,914955579642,"67, Karan Chowk
Katihar 496332",Madanapalle,566155,2024-07-16,Inactive,12,799.11,2591.02,10364.08,62184.479999999996,High Value
191616,4089.96,2044.98,2,Brijesh Tata,yadavipatla@example.org,918144382068,"19/151, Bera Nagar, Surendranagar Dudhrej-068367",Pallavaram,587079,2023-04-27,Regular,4,1053.7,2044.98,8179.92,49079.520000000004,Medium Value
211163,11984.36,3994.786666666667,3,Hiral Baral,bhavsaryagnesh@example.com,911312775966,"H.No. 11
Sharma Chowk, Jhansi-302598",Satna,50152,2024-06-10,Regular,9,1169.11,3994.786666666667,35953.08,143812.32,Very High Value
243838,6061.06,2020.3533333333332,3,Sudiksha Nagar,chandanikrish@example.net,913688907644,"H.No. 58
Cherian Zila
Dhule 851724",Visakhapatnam,865844,2024-05-16,New,11,1158.27,2020.3533333333332,18183.18,72732.72,High Value
376144,9359.35,1871.87,5,Ira Chhabra,caleb02@example.com,914254514422,"H.No. 39
Sarkar Path
Karawal Nagar-657936",Anantapuram,627253,2023-12-19,Regular,13,1784.32,1871.87,46796.75,112312.19999999998,Very High Value
408590,1217.39,1217.39,1,Januja Zachariah,nakshsahni@example.net,916303259192,"25/639
Chandran Zila
Kozhikode 329055",Jorhat,356268,2024-03-11,Regular,17,436.74,1217.39,1217.39,14608.68,Low Value
469006,5932.18,1977.3933333333332,3,Shivansh Loyal,darikaperi@example.net,910131483498,"49, Garg Ganj
Bhubaneswar-563425",Begusarai,814266,2023-08-21,Inactive,2,1393.2,1977.3933333333332,17796.54,71186.15999999999,High Value
625395,7185.56,1796.39,4,Leena Loyal,devanshwalia@example.org,910364415832,"H.No. 758
Bhardwaj Street, Jamalpur-645017",Siliguri,645207,2024-03-27,Premium,4,1794.26,1796.39,28742.24,86226.72,Very High Value
644189,3376.0,3376.0,1,Tanay Sahni,janya99@example.org,913485618787,"H.No. 95
Bhasin Path, Raiganj 351412",Bhopal,899027,2023-12-15,Premium,2,793.86,3376.0,3376.0,40512.0,Medium Value
666589,222.15,222.15,1,Kevin Bassi,jainchandani@example.net,912286568717,"25/224
Soni Ganj
Visakhapatnam-398942",Morbi,852969,2023-07-31,Regular,15,465.38,222.15,222.15,2665.8,Low Value
701493,8182.65,2727.55,3,Ekaraj Saini,arya43@example.net,918673348146,"H.No. 327, Borde Circle, Dibrugarh 462007",Shahjahanpur,845299,2024-02-11,Inactive,2,290.07,2727.55,24547.95,98191.8,Very High Value
767523,2358.76,2358.76,1,Maya Khosla,khannaijaya@example.org,918702216695,"H.No. 10
Venkatesh Street, Kakinada 570578",Vasai-Virar,375272,2023-05-27,Inactive,13,1737.28,2358.76,2358.76,28305.120000000003,Low Value
773410,1838.15,1838.15,1,Ladli Saha,gautami44@example.net,913650109706,"72/38
Krish Street, Bijapur-804266",Kota,906115,2023-06-25,New,13,1694.79,1838.15,1838.15,22057.800000000003,Low Value
820740,5414.650000000001,1804.8833333333332,3,Mekhala Sathe,naveennatt@example.com,914144553554,"H.No. 20, Thakkar Marg
Ambala 748990",Ambala,634784,2023-11-15,Premium,1,1385.46,1804.8833333333332,16243.95,64975.799999999996,High Value
899941,7121.92,3560.96,2,Lopa Venkataraman,gavinchoudhary@example.org,919236408026,"H.No. 780, Oommen Chowk
Satna 564861",Sambhal,12225,2024-06-25,Premium,18,1202.35,3560.96,14243.84,85463.04000000001,Very High Value
949062,3558.14,3558.14,1,Jackson Karpe,sembhavika@example.net,910274625288,"H.No. 81, Mital Ganj
Mangalore 130050",Mau,106228,2023-10-13,Inactive,19,1947.14,3558.14,3558.14,42697.68,Medium Value
954629,44.35,44.35,1,Fiyaz Mand,naggarwal@example.com,915395090719,"46/673
Magar Ganj, Panchkula 815005",Begusarai,107720,2024-02-26,New,14,1390.08,44.35,44.35,532.2,Low Value
966247,3110.34,3110.34,1,Jeevika Deo,sbalasubramanian@example.net,914778660685,"894, Chanda Road
Kamarhati 134874",Junagadh,410259,2023-11-16,Inactive,13,1110.76,3110.34,3110.34,37324.08,Medium Value
1108176,3667.81,1833.905,2,Charita Chad,ekantika51@example.com,919496285339,"99/756, Gour Marg
Suryapet-685926",Bhalswa Jahangir Pur,902052,2023-07-27,Premium,20,1460.76,1833.905,7335.62,44013.72,Medium Value
1152215,1203.31,1203.31,1,Yachana Pathak,chakradevnigam@example.org,912968749008,"067, Rao Street
Motihari 908674",Dhanbad,251590,2024-05-27,Inactive,2,1637.43,1203.31,1203.31,14439.72,Low Value
